id,annotations
744014442837454848,2
747464459484991488,1
747965508943814656,8
741452596855070721,"9,9"
752716160274165760,1
741046376725778432,9
748615491829137410,8
742431842654138368,1
741694537647656960,2
747458649962864640,9
746749339905622016,10
743495569713336320,9
746194501073440769,3
744581192645808129,10
744659058997796865,10
744892750630256641,9
742845334846464000,3
744550941098184704,5
749402774274646016,7
743977930758459397,"9,9"
746215906393522176,8
747160277796405248,7
747637004964356096,3
742784977784442880,"8,9"
749381059708608512,0
744635114970357760,6
748608833929478148,"1,1"
745101634473070593,2
742960387843338241,"3,4"
742460050585702401,4
745071641734979584,5
742825382450221057,1
748139957903101952,1
744611837505789953,1
742572181628944386,"7,8"
743974145382199297,8
748085543544717312,1
745082022851284992,0
747576971190804482,1
748076518484500480,9
744775527911690240,9
748259509336846336,"1,1"
741675014215340032,7
746583240874459136,7
746801510437126144,0
746283452740206592,"0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0"
747610137867726848,"6,6,6,1,6,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,6,6,1,6,6,1,6,6,6,6,6,6,1,1,1,6,6,6,6,6,6,6,1,6,1,1,6,6,6,6,1,1,6,6,6,6,6,6,6,1,1,6,6,1,6,6,6,1,6,1,6,6,6,1,1,6,6,1,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,1,1,6,1,6,6,6,6,6,1,6,6,6,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,1,6,6,6,6,6,1,1,6,6,6,6,6,6,6,1,6,6,6,1,6,6,1,1,6,6,6,6,1,1,6,6,6,6,6,6,1,1,6,6,6,6,1,6,1,1,6,6,1,6,6,6,6,6,6,6,6,6,6,1,6,6,6,1,1,6,6,6,6,6,6,1,6,6,6,6,1,1,6,6,6,1,1,1,1,6,1,6,6,6,6,1,6,1,6,6,6,6,6,6,6,6,1,1,6,6,6,6,6,1,1,1,6,6,1,1,6,1,6,6,6,6,1,1,1,6,6,1,6,6,1,6,1,1,6,6,6,6,6,1,6,6,6,6,6,1,6,1,6,6,6,1,1,6,6,6,6,6,1,1,6,1,1,6,6,6,1,6,6,6,1,6,1,6,6,6,6,1,6,6,6,1,6,6,6,1,6,6,6,6,1,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,1,1,6,6,6,6,1,1,6,1,6,1,1,1,1,1,6,6,1,1,6,6,6,1,6,6,6,6,6,6,6,1,1,6,1,6,1,6,6,6,1,1,1,6,1,6,6,6,6,1,1,6,6,1,6,1,6,6,1,6,6,1,1,6,1,6,1,6,6,6,6,1,6,6,1,6,6,1,1,6,6,6,6,1,6,6,6,1,1,6,1,6,6,6,1,6,6,6,1,6,6,6,1,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,1,6,1,1,6,1,6,6,6,6,6,6,6,6,6,6,1,6,6,6,1,6,6,6,1,6,1,6,6,6,1,6,6,6,6,1,6,6,6,1,1,6,6,6,6,6,1,6,6,6,1,6,1,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,6,1,1,6,1,6,6,1,6,6,6,6,1,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,1,1,6,1,6,1,6,6,6,6,1,6,1,1,1,6,1,6,1,6,6,6,6,6,1,1,6,6,1,1,6,6,6,1,6,6,1,6,6,6,1,1,6,1,1,1,1,1,6,6,6,1,6,1,6,1,6,6,6,6,6,6,1,6,6,1,1,1,6,6,6,6,6,1,6"
743241683995758592,5
748052329107185664,1
747584995254992896,"0,11"
742876328781746177,"8,8"
741683084165275649,1
741593022228369409,9
741072649510494208,"6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6"
744858775333576704,9
747413224597782530,3
742909025969397760,9
741355709015658496,8
747767104531730432,3
747517334735192064,8
744925235057549312,6
743012191465398272,9
742623724717805568,8
748638798578221057,8
748354721748901888,4
744574756679262208,4
742111878923444225,7
744610687054389249,7
742852060924678145,7
744515304844312576,1
742304586912915456,4
749107606375964672,7
741090445808173056,"4,10"
742324741508337665,1
748634914304593920,8
741496937887604736,"1,8"
744539412755845120,8
742482943617159169,2
741049543559663616,7
747509372926910466,5
747846470578114560,"7,7"
743293730086498304,"2,2"
748614540879761409,11
743413308527513600,7
748757480272908290,9
746762284073103360,1
742070395289927680,"2,10"
741984003192815616,"9,11"
744837220159217664,3
747287514109534208,0
746598691956531200,8
741322596566728705,"1,2"
746498323109003264,10
744940154335420416,5
748091116000583680,"9,9"
744648175881904128,4
746459787697729536,9
747743559290335232,7
742613441446191105,6
741389684031541249,1
743160012818812929,3
747464613604777984,1
742019045164191744,5
748599968705937408,6
746964081370865664,"4,4"
746665727525064704,0
741387130946105344,7
743362207300214784,"4,4"
742576840557137920,"3,9,3,9"
741761339970846720,6
742011597065998336,6
748836193517920257,1
741594758196301824,"9,9"
747412116798382080,2
744623498656612353,"6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6"
748580898845523970,7
742446669061443584,7
742756653569875968,1
742143198454251520,9
743005323590565888,"8,8,1"
746989734996643840,7
746808333064036354,8
741762161031151616,"4,8"
742663880187518976,9
748321975500582912,8
748295274217373696,7
746691242650656768,11
742374159641088001,6
747746516685717504,7
747127144728363008,9
742794817688764416,5
748005641344651269,1
746916531565531136,7
746164306392322048,7
747195000664920064,7
741435309511069696,7
744698936041013248,5
748550275447787520,2
744701066843852800,"3,3"
741844969132937216,"10,10"
743664518237036545,3
753799184088637440,5
758136809465327616,"0,0,0,0,0"
747491138462900225,"9,9"
743987212207849472,1
747927656084058112,9
746984128785022980,0
747125373213753345,9
742595879840813056,7
746307004273135618,"8,10"
747056999133634560,8
746637340630605824,"8,8"
742174033307959296,1
741588591952822272,3
746647947400577024,"8,8"
744693804012343296,9
744618029263257600,"1,1"
747615319686946816,3
742135220166483968,9
746751983055437825,"1,9,1,9"
741719540602707968,11
746444191597731840,1
747462958880595968,"2,9"
741762298252021760,2
747273739465797632,7
741788357726998528,"8,8"
746496747841658880,"9,9"
743580011609866240,9
744777217289265154,"10,10"
742750332288180224,1
747031448570339328,9
748482171401232385,"4,11"
747503295556640768,5
746566090076078080,10
744919127987355652,9
741723910303973376,3
744742465924542464,"0,6,0,6,0,6"
741714684471087104,"11,11"
747856214130855936,10
747403105680011264,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"
747642754545684480,"4,4"
742133850461995009,9
746715591944318976,3
744553938276356096,"3,3"
743981539374018560,"3,3"
748188696101404672,1
747569962009698304,"0,0"
741793957315805184,9
748401697584742400,"1,1"
747042595998576640,9
741318401969229824,6
747710141643034626,0
748516531043172353,5
748024009061720064,7
747004850689310720,6
743488238015287296,1
742237748992610306,9
743482573125484545,"6,6"
